Exercício: 2019
Período: 3o. quadrimestre
Escopo: Estados/DF
Anexo 05 - Demonstrativo da Disponibilidade de Caixa e dos Restos a Pagar
Tabela: Disponibilidade de Caixa
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Identificador da Conta;Valor
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"Do Exercício (c)";"Outros Recursos Vinculados";"siconfi-cor_RestosAPagarLiquidadosENaoPagosDoExercicio";6878030,23
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"Do Exercício (c)";"TOTAL (III) = (I + II)";"siconfi-cor_RestosAPagarLiquidadosENaoPagosDoExercicio";30803364,78
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"Restos a Pagar Empenhados e Não Liquidados de Exercícios Anteriores (d)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDeExerciciosAnteriores";2151974,14
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"Restos a Pagar Empenhados e Não Liquidados de Exercícios Anteriores (d)";"Outros Recursos Não Vinculados";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDeExerciciosAnteriores";2151974,14
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"Restos a Pagar Empenhados e Não Liquidados de Exercícios Anteriores (d)";"TOTAL DOS RECURSOS VINCULADOS (II)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDeExerciciosAnteriores";16255460,31
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"Restos a Pagar Empenhados e Não Liquidados de Exercícios Anteriores (d)";"Outros Recursos Vinculados";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDeExerciciosAnteriores";16255460,31
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"Restos a Pagar Empenhados e Não Liquidados de Exercícios Anteriores (d)";"TOTAL (III) = (I + II)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDeExerciciosAnteriores";18407434,45
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"Demais Obrigações Financeiras (e)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DemaisObrigacoesFinanceiras";711448329,68
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"Demais Obrigações Financeiras (e)";"Outros Recursos Não Vinculados";"siconfi-cor_DemaisObrigacoesFinanceiras";711448329,68
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"Demais Obrigações Financeiras (e)";"TOTAL DOS RECURSOS VINCULADOS (II)";"siconfi-cor_DemaisObrigacoesFinanceiras";6348255,86
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"Demais Obrigações Financeiras (e)";"Outros Recursos Vinculados";"siconfi-cor_DemaisObrigacoesFinanceiras";6348255,86
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"Demais Obrigações Financeiras (e)";"TOTAL (III) = (I + II)";"siconfi-cor_DemaisObrigacoesFinanceiras";717796585,54
