arquivo_origem;ano_origem;tipo_base;Exercício: 2019;;;;;;;;
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;Internos;siconfi-cor_RGF2FinanciamentosInternos;7193684.68
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;Parcelamento e Renegociação de Dívidas;siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividas;16110129.52
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;De Contribuições Previdenciárias;siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeContribuicoesSociaisPrevidenciarias;8896258.77
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;De Demais Contribuições Sociais;siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeContribuicoesSociaisDemaisContribuicoesSociais;5174815.99
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;Com Instituição Não Financeira;siconfi-cor_RGF2ParcelamentoDeDividasComInstituicaoNaoFinanceira;2039054.76
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;DEDUÇÕES (II);siconfi-cor_DeducoesDaDividaConsolidada;845714752.25
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;Disponibilidade de Caixa;siconfi-cor_RGF2DisponibilidadeDeCaixa;845714752.25
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;Disponibilidade de Caixa Bruta;siconfi-cor_DisponibilidadeDeCaixaBrutaAnexo02;871506976.88
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;(-) Restos a Pagar Processados;siconfi-cor_RestosAPagarProcessadosExcetoPrecatorios;25792224.63
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II);siconfi-cor_DividaConsolidadaLiquida;-761454713.02
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;RECEITA CORRENTE LÍQUIDA - RCL;siconfi-cor_RGF2ReceitaCorrenteLiquida;1091519238.49
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;% da DC sobre a RCL (I/RCL);siconfi-cor_PercentualDaDCSobreARCL;7.72
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);siconfi-cor_PercentualDaDCLSobreARCL;-69.76
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;LIMITE DEFINIDO POR RESOLUÇÃO DO SENADO FEDERAL;siconfi-cor_LimiteDefinidoPorResolucaoDoSenadoFederal;1309823086.19
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;LIMITE DE ALERTA (inciso III do § 1º do art. 59 da LRF);siconfi-cor_LimiteDeAlerta;1178840777.57
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;Precatórios Posteriores a 05/05/2000 (Não incluídos na DC);siconfi-cor_PrecatoriosAPartirDe05052000;4198313.96
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;Passivo Atuarial;siconfi-cor_RGF2DividaConsolidadaPrevidenciariaPassivoAtuarial;384215920.78
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;Depósitos e Consignações Sem Contrapartida;siconfi-cor_Depositos;12512315.49
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;RP Não-Processados;siconfi-cor_RPNaoProcessadosDeExerciciosAnteriores;143790908.33
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;DÍVIDA CONSOLIDADA - DC (I);siconfi-cor_DividaConsolidada;80895873.12
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;Dívida Contratual;siconfi-cor_DividaContratual;80895873.12
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;Empréstimos;siconfi-cor_RGF2Emprestimos;60757377.95
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;Internos;siconfi-cor_RGF2EmprestimosInternos;60757377.95
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;Financiamentos;siconfi-cor_RGF2Financiamentos;6128850.79
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;Internos;siconfi-cor_RGF2FinanciamentosInternos;6128850.79
