grupo;valor_grupo;variavel;media;erro_padrao;moda;mediana;q1;q3;variancia;desvio_padrao;minimo;maximo;soma;contagem;ausentes
ano;2023;crescimento_pib;0,18037917204590462;0,023747286934241985;-0,24432141063806;0,1614601578060086;0,0591590085394436;0,26960616024609085;0,04455075730224039;0,21107050315532103;-0,24432141063806;0,9947941762480564;14,249954591626466;79;0
ano;2023;log_pib_per_capita;11,0816392943008;0,06282465405595872;9,769921129585668;11,061355394747054;10,728037081226917;11,462468686395647;0,3118080354228203;0,5583977394499554;9,769921129585668;12,92527640062148;875,4495042497632;79;0
ano;2023;investimento_pib;0,014809894356466761;0,001299869714952767;0,0013969853440369;0,0119217513280674;0,0070706464451329495;0,019055061888483903;0,00013348324079225964;0,01155349474368079;0,0013969853440369;0,0705251153511092;1,169981654160874;79;0
ano;2023;gasto_pessoal_pib;0,0653646363852415;0,003352129484739179;0,0161576019942644;0,058082036128051;0,04299011586025035;0,0807060290905672;0,0008877049945141627;0,029794378572377753;0,0161576019942644;0,1556442392183346;5,163806274434078;79;0
ano;2023;receita_corrente_pib;0,13962615043129328;0,0072582443657661375;0,0412711792742743;0,1206129277432029;0,09177085417867731;0,1728396816771818;0,004161886790580895;0,06451268705131491;0,0412711792742743;0,3215840313189423;11,03046588407217;79;0
ano;2023;crescimento_populacao;0,04635500333723668;0,013437792856013158;-0,2467697521711501;0,0358955410413293;-0,0278993550125954;0,11267281565811499;0,014265367870448343;0,11943771544385945;-0,2467697521711501;0,3886745659961421;3,662045263641698;79;0
ano;2023;area_por_habitante;0,2583490295919336;0,03022127254330316;0,0088242021569845;0,1606771639690359;0,08558663037070395;0,3795256542824528;0,07215269981679215;0,26861254590356004;0,0088242021569845;1,591628180039139;20,409573337762755;79;0
ano;2023;distancia_capital_km;277,68886075949365;13,26013603594989;0,0;289,24;199,78;366,645;13890,66540765985;117,85866708757507;0,0;469,41;21937,42;79;0
ano;2023;dummy_pequeno_municipio;0,25316455696202533;0,049234168880847154;0,0;0,0;0,0;0,5;0,19149626744563447;0,43760286498791856;0,0;1,0;20,0;79;0
ano;2023;interacao_pequeno_pessoal;0,016946293854314332;0,0037667838232074476;0,0;0,0;0,0;0,0080788009971322;0,0011209041692914082;0,03347990694866711;0,0;0,1247351586865922;1,3387572144908322;79;0
ano;2023;populacao;35939,08860759494;11846,272842915849;3066,0;16025,0;7875,0;25926,5;11086400241,235638;105291,97614840191;3066,0;916001,0;2839188,0;79;0
ano;2023;pib;2334204028,379747;605768684,7278236;170385672,0;1001346231,0;485774588,5;2008787451,0;2,8989500252353307e+19;5384189841,782449;170385672,0;42269767537,0;184402118242,0;79;0
ano;2023;pib_per_capita;76857,1137931015;6204,3209606037935;17499,38698003328;63662,78161514173;45618,22834077154;95088,39700514055;3040994287,9928184;55145,210925272724;17499,38698003328;410559,6059496568;6071711,989655019;79;0
ano;2023;receita_corrente;250674480,53544304;69291314,97403479;41394182,21;122793727,13;80392237,295;195892802,63;3,793016201356409e+17;615874678,920672;41394182,21;5275676198,71;19803283962,3;79;0
ano;2023;despesa_pessoal;126869610,92113924;38491307,268514894;20129908,13;59631818,65;35162985,28;91529452,37;1,1704487808389894e+17;342118222,379193;20129908,13;2940773689,9;10022699262,77;79;0
ano;2023;investimento;24320606,982784815;5944981,995222391;1422403,85;11254999,0;6375134,495;21642847,86;2792082062957953,0;52840155,78097734;1422403,85;426687396,1;1921327951,6400003;79;0
ano;2023;area_km2;4520,785835443038;859,0738836049616;280,457;2957,41;1611,518;4980,4365;58302627,061876774;7635,615696319242;280,457;64432,45;357142,081;79;0
